medal|prize|country|year
Bronze|23040|Hong Kong|2004
Gold|114665|Hong Kong|2006
Silver|78083|Hong Kong|2006
Bronze|11809|Hong Kong|2006
Gold|146764|Hong Kong|2008
Silver|64761|Hong Kong|2008
Bronze|24055|Hong Kong|2008
Gold|146782|Hong Kong|2010
Silver|62664|Hong Kong|2010
Bronze|23139|Hong Kong|2010
Gold|124846|Hong Kong|2012
Silver|55776|Hong Kong|2012
Bronze|18082|Hong Kong|2012
Gold|185445|Hungary|2000
Silver|76976|Hungary|2000
Bronze|27926|Hungary|2000
Gold|144986|Hungary|2002
Silver|45339|Hungary|2002
Bronze|24809|Hungary|2002
Gold|158976|Hungary|2004
Silver|73465|Hungary|2004
Bronze|20739|Hungary|2004
Gold|156297|Hungary|2006
Silver|73669|Hungary|2006
Bronze|19925|Hungary|2006
Gold|106681|Hungary|2008
Silver|58093|Hungary|2008
Bronze|24574|Hungary|2008
Gold|105744|Hungary|2010
Silver|51748|Hungary|2010
Bronze|21560|Hungary|2010
Gold|184845|Hungary|2012
Silver|66964|Hungary|2012
Bronze|19793|Hungary|2012
Gold|112488|Iceland|2000
Silver|71777|Iceland|2000
Bronze|12296|Iceland|2000
Gold|160611|Iceland|2002
Silver|47472|Iceland|2002
Bronze|28208|Iceland|2002
Gold|113558|Iceland|2004
Silver|47514|Iceland|2004
Bronze|24246|Iceland|2004
Gold|112800|Iceland|2006
Silver|41095|Iceland|2006
Bronze|28409|Iceland|2006
Gold|104684|Iceland|2008
Silver|59050|Iceland|2008
Bronze|26521|Iceland|2008
Gold|90111|Iceland|2010
Silver|61141|Iceland|2010
Bronze|26120|Iceland|2010
Gold|173133|Iceland|2012
Silver|67313|Iceland|2012
Bronze|28683|Iceland|2012
Gold|144431|India|2000
Silver|60668|India|2000
Bronze|19727|India|2000
Gold|187097|India|2002
Silver|40685|India|2002
Bronze|25602|India|2002
Gold|199303|India|2004
Silver|74043|India|2004
Bronze|17839|India|2004
Gold|183709|India|2006
Silver|47628|India|2006
Bronze|19129|India|2006
Gold|162770|India|2008
Silver|77775|India|2008
Bronze|15938|India|2008
Gold|100246|India|2010
Silver|64965|India|2010
Bronze|24466|India|2010
Gold|90740|India|2012
Silver|47467|India|2012
Bronze|20334|India|2012
Gold|144239|Indonesia|2000
Silver|47433|Indonesia|2000
Bronze|21071|Indonesia|2000
Gold|168088|Indonesia|2002
Silver|66322|Indonesia|2002
Bronze|20655|Indonesia|2002
Gold|127389|Indonesia|2004
Silver|67985|Indonesia|2004
Bronze|11752|Indonesia|2004
Gold|101277|Indonesia|2006
Silver|73890|Indonesia|2006
Bronze|24979|Indonesia|2006
Gold|199577|Indonesia|2008
Silver|59577|Indonesia|2008
Bronze|18748|Indonesia|2008
Gold|126223|Indonesia|2010
Silver|62798|Indonesia|2010
Bronze|13109|Indonesia|2010
Gold|155465|Indonesia|2012
Silver|46706|Indonesia|2012
Bronze|14479|Indonesia|2012
Gold|130293|Iran|2000
Silver|43143|Iran|2000
Bronze|19647|Iran|2000
Gold|177951|Iran|2002
Silver|73532|Iran|2002
Bronze|12428|Iran|2002
Gold|138038|Iran|2004
Silver|52843|Iran|2004
Bronze|23053|Iran|2004
Gold|110965|Iran|2006
Silver|57328|Iran|2006
Bronze|22699|Iran|2006
Gold|109988|Iran|2008
Silver|50295|Iran|2008
Bronze|16492|Iran|2008
Gold|90655|Iran|2010
Silver|74020|Iran|2010
Bronze|19078|Iran|2010
Gold|150399|Iran|2012
Silver|44962|Iran|2012
Bronze|11726|Iran|2012
Gold|116124|Ireland|2000
Silver|59341|Ireland|2000
Bronze|12783|Ireland|2000
Gold|197514|Ireland|2002
Silver|56129|Ireland|2002
Bronze|21216|Ireland|2002
Gold|127501|Ireland|2004
Silver|45079|Ireland|2004
Bronze|24151|Ireland|2004
Gold|126941|Ireland|2006
Silver|75499|Ireland|2006
Bronze|19769|Ireland|2006
Gold|169877|Ireland|2008
Silver|51051|Ireland|2008
Bronze|21471|Ireland|2008
Gold|106987|Ireland|2010
Silver|59557|Ireland|2010
Bronze|14101|Ireland|2010
Gold|98758|Ireland|2012
Silver|54577|Ireland|2012
Bronze|23021|Ireland|2012
Gold|97332|Israel|2000
Silver|49805|Israel|2000
Bronze|23058|Israel|2000
Gold|157137|Israel|2002
Silver|63892|Israel|2002
Bronze|27650|Israel|2002
Gold|171301|Israel|2004
Silver|61844|Israel|2004
Bronze|26067|Israel|2004
Gold|197626|Israel|2006
Silver|61610|Israel|2006
Bronze|26484|Israel|2006
Gold|176269|Israel|2008
Silver|55776|Israel|2008
Bronze|20422|Israel|2008
Gold|131608|Israel|2010
Silver|73800|Israel|2010
Bronze|15570|Israel|2010
Gold|124399|Israel|2012
Silver|78856|Israel|2012
Bronze|19642|Israel|2012
Gold|132230|Italy|2000
Silver|61949|Italy|2000
Bronze|17702|Italy|2000
Gold|93439|Italy|2002
Silver|56529|Italy|2002
Bronze|21914|Italy|2002
Gold|189753|Italy|2004
Silver|61017|Italy|2004
Bronze|18955|Italy|2004
Gold|174755|Italy|2006
Silver|69348|Italy|2006
Bronze|25502|Italy|2006
Gold|161852|Italy|2008
Silver|54265|Italy|2008
Bronze|12737|Italy|2008
Gold|139883|Italy|2010
Silver|64590|Italy|2010
Bronze|16648|Italy|2010
Gold|121580|Italy|2012
Silver|43934|Italy|2012
Bronze|22997|Italy|2012
Gold|133940|Jamaica|2000
Silver|50353|Jamaica|2000
Bronze|28742|Jamaica|2000
Gold|192820|Jamaica|2002
Silver|51831|Jamaica|2002
Bronze|28210|Jamaica|2002
Gold|190696|Jamaica|2004
Silver|46687|Jamaica|2004
Bronze|21405|Jamaica|2004
Gold|91833|Jamaica|2006
Silver|79680|Jamaica|2006
Bronze|24862|Jamaica|2006
Gold|108223|Jamaica|2008
Silver|41330|Jamaica|2008
Bronze|14743|Jamaica|2008
Gold|118715|Jamaica|2010
Silver|72387|Jamaica|2010
Bronze|22155|Jamaica|2010
Gold|181501|Jamaica|2012
Silver|70558|Jamaica|2012
Bronze|28276|Jamaica|2012
Gold|191209|Japan|2000
Silver|47665|Japan|2000
Bronze|23253|Japan|2000
Gold|161614|Japan|2002
Silver|49491|Japan|2002
Bronze|19472|Japan|2002
Gold|173123|Japan|2004
Silver|68516|Japan|2004
Bronze|22633|Japan|2004
Gold|178619|Japan|2006
Silver|63946|Japan|2006
Bronze|27982|Japan|2006
Gold|185110|Japan|2008
Silver|74009|Japan|2008
Bronze|19546|Japan|2008
Gold|182876|Japan|2010
Silver|78495|Japan|2010
Bronze|24975|Japan|2010
Gold|111671|Japan|2012
Silver|64740|Japan|2012
Bronze|24851|Japan|2012
Gold|95454|Kazakhstan|2000
Silver|58405|Kazakhstan|2000
Bronze|20712|Kazakhstan|2000
Gold|193464|Kazakhstan|2002
Silver|59709|Kazakhstan|2002
Bronze|11955|Kazakhstan|2002
Gold|193815|Kazakhstan|2004
Silver|59203|Kazakhstan|2004
Bronze|10944|Kazakhstan|2004
Gold|93832|Kazakhstan|2006
Silver|68987|Kazakhstan|2006
Bronze|21302|Kazakhstan|2006
Gold|95670|Kazakhstan|2008
Silver|59097|Kazakhstan|2008
Bronze|19539|Kazakhstan|2008
Gold|134671|Kazakhstan|2010
Silver|67237|Kazakhstan|2010
Bronze|16592|Kazakhstan|2010
Gold|103576|Kazakhstan|2012
Silver|55355|Kazakhstan|2012
Bronze|24914|Kazakhstan|2012
Gold|142513|Kenya|2000
Silver|46523|Kenya|2000
Bronze|23514|Kenya|2000
Gold|186420|Kenya|2002
Silver|59642|Kenya|2002
Bronze|14595|Kenya|2002
Gold|127120|Kenya|2004
Silver|67622|Kenya|2004
Bronze|18707|Kenya|2004
Gold|135511|Kenya|2006
Silver|68330|Kenya|2006
Bronze|12687|Kenya|2006
Gold|197712|Kenya|2008
Silver|54797|Kenya|2008
Bronze|29542|Kenya|2008
Gold|134374|Kenya|2010
Silver|77142|Kenya|2010
Bronze|11948|Kenya|2010
Gold|198631|Kenya|2012
Silver|43025|Kenya|2012
Bronze|25429|Kenya|2012
Gold|169426|Kuwait|2000
Silver|68126|Kuwait|2000
Bronze|14804|Kuwait|2000
Gold|96428|Kuwait|2002
Silver|52265|Kuwait|2002
Bronze|10699|Kuwait|2002
Gold|108187|Kuwait|2004
Silver|55342|Kuwait|2004
Bronze|27272|Kuwait|2004
Gold|167062|Kuwait|2006
Silver|41241|Kuwait|2006
Bronze|25732|Kuwait|2006
Gold|126650|Kuwait|2008
Silver|73613|Kuwait|2008
Bronze|28916|Kuwait|2008
Gold|166494|Kuwait|2010
Silver|65692|Kuwait|2010
Bronze|23417|Kuwait|2010
Gold|175146|Kuwait|2012
Silver|55446|Kuwait|2012
Bronze|17449|Kuwait|2012
Gold|180140|Kyrgyzstan|2000
Silver|76356|Kyrgyzstan|2000
Bronze|15311|Kyrgyzstan|2000
Gold|183468|Kyrgyzstan|2002
Silver|62694|Kyrgyzstan|2002
Bronze|25902|Kyrgyzstan|2002
Gold|137524|Kyrgyzstan|2004
Silver|73653|Kyrgyzstan|2004
Bronze|20823|Kyrgyzstan|2004
Gold|111841|Kyrgyzstan|2006
Silver|58092|Kyrgyzstan|2006
Bronze|23822|Kyrgyzstan|2006
Gold|173602|Kyrgyzstan|2008
Silver|72768|Kyrgyzstan|2008
Bronze|15217|Kyrgyzstan|2008
Gold|149652|Kyrgyzstan|2010
Silver|44297|Kyrgyzstan|2010
Bronze|21643|Kyrgyzstan|2010
Gold|179225|Kyrgyzstan|2012
Silver|70666|Kyrgyzstan|2012
Bronze|25125|Kyrgyzstan|2012
Gold|94857|Latvia|2000
Silver|41056|Latvia|2000
Bronze|18528|Latvia|2000
Gold|148732|Latvia|2002
Silver|69882|Latvia|2002
Bronze|17985|Latvia|2002
Gold|181171|Latvia|2004
Silver|60432|Latvia|2004
Bronze|14220|Latvia|2004
Gold|103133|Latvia|2006
Silver|43849|Latvia|2006
Bronze|12418|Latvia|2006
Gold|152799|Latvia|2008
Silver|52711|Latvia|2008
Bronze|23463|Latvia|2008
Gold|119001|Latvia|2010
Silver|72939|Latvia|2010
Bronze|21066|Latvia|2010
Gold|189519|Latvia|2012
Silver|42666|Latvia|2012
Bronze|26746|Latvia|2012
Gold|142751|Lithuania|2000
Silver|74988|Lithuania|2000
Bronze|18496|Lithuania|2000
Gold|172906|Lithuania|2002
Silver|74240|Lithuania|2002
Bronze|23367|Lithuania|2002
Gold|168306|Lithuania|2004
Silver|53990|Lithuania|2004
Bronze|10155|Lithuania|2004
Gold|111491|Lithuania|2006
Silver|65965|Lithuania|2006
Bronze|13375|Lithuania|2006
Gold|150010|Lithuania|2008
Silver|43568|Lithuania|2008
Bronze|28555|Lithuania|2008
Gold|160137|Lithuania|2010
Silver|65608|Lithuania|2010
Bronze|11184|Lithuania|2010
Gold|103304|Lithuania|2012
Silver|73478|Lithuania|2012
Bronze|23139|Lithuania|2012
Gold|199935|Macedonia|2000
Silver|64034|Macedonia|2000
Bronze|19238|Macedonia|2000
Gold|167266|Macedonia|2002
Silver|71127|Macedonia|2002
Bronze|20760|Macedonia|2002
Gold|135447|Macedonia|2004
Silver|58032|Macedonia|2004
Bronze|29227|Macedonia|2004
Gold|144259|Macedonia|2006
Silver|55750|Macedonia|2006
Bronze|13895|Macedonia|2006
Gold|131225|Macedonia|2008
Silver|62714|Macedonia|2008
Bronze|15247|Macedonia|2008
Gold|147874|Macedonia|2010
Silver|52824|Macedonia|2010
Bronze|16439|Macedonia|2010
Gold|145433|Macedonia|2012
Silver|67064|Macedonia|2012
Bronze|19318|Macedonia|2012
Gold|142706|Malaysia|2000
Silver|55538|Malaysia|2000
Bronze|18079|Malaysia|2000
Gold|101601|Malaysia|2002
Silver|65462|Malaysia|2002
Bronze|23030|Malaysia|2002
Gold|154829|Malaysia|2004
Silver|51780|Malaysia|2004
Bronze|20337|Malaysia|2004
Gold|196877|Malaysia|2006
Silver|46039|Malaysia|2006
Bronze|28756|Malaysia|2006
Gold|199486|Malaysia|2008
Silver|69300|Malaysia|2008
Bronze|12633|Malaysia|2008
Gold|114129|Malaysia|2010
Silver|55081|Malaysia|2010
Bronze|18024|Malaysia|2010
Gold|142677|Malaysia|2012
Silver|75679|Malaysia|2012
Bronze|14983|Malaysia|2012
Gold|94459|Mauritius|2000
Silver|43037|Mauritius|2000
Bronze|15501|Mauritius|2000
Gold|165450|Mauritius|2002
Silver|41612|Mauritius|2002
Bronze|12579|Mauritius|2002
Gold|163384|Mauritius|2004
Silver|58769|Mauritius|2004
Bronze|17621|Mauritius|2004
Gold|99643|Mauritius|2006
Silver|73131|Mauritius|2006
Bronze|26703|Mauritius|2006
Gold|176830|Mauritius|2008
Silver|65244|Mauritius|2008
Bronze|11843|Mauritius|2008
Gold|155388|Mauritius|2010
Silver|73670|Mauritius|2010
Bronze|23382|Mauritius|2010
Gold|98483|Mauritius|2012
Silver|42479|Mauritius|2012
Bronze|21706|Mauritius|2012
Gold|175291|Mexico|2000
Silver|77613|Mexico|2000
Bronze|18215|Mexico|2000
Gold|126542|Mexico|2002
Silver|46932|Mexico|2002
Bronze|28228|Mexico|2002
Gold|148954|Mexico|2004
Silver|64422|Mexico|2004
Bronze|15051|Mexico|2004
Gold|197132|Mexico|2006
Silver|70259|Mexico|2006
Bronze|11083|Mexico|2006
Gold|125063|Mexico|2008
Silver|41338|Mexico|2008
Bronze|18840|Mexico|2008
Gold|176120|Mexico|2010
Silver|73294|Mexico|2010
Bronze|23273|Mexico|2010
Gold|145184|Mexico|2012
Silver|61221|Mexico|2012
Bronze|14583|Mexico|2012
Gold|131597|Moldova|2000
Silver|44960|Moldova|2000
Bronze|14521|Moldova|2000
Gold|158855|Moldova|2002
Silver|55431|Moldova|2002
Bronze|14900|Moldova|2002
Gold|127616|Moldova|2004
Silver|50416|Moldova|2004
Bronze|16424|Moldova|2004
Gold|152793|Moldova|2006
Silver|44730|Moldova|2006
Bronze|24675|Moldova|2006
Gold|121668|Moldova|2008
Silver|74299|Moldova|2008
Bronze|14173|Moldova|2008
Gold|102489|Moldova|2010
Silver|40252|Moldova|2010
Bronze|20855|Moldova|2010
Gold|119224|Moldova|2012
Silver|76568|Moldova|2012
Bronze|15146|Moldova|2012
Gold|96252|Mongolia|2000
Silver|66241|Mongolia|2000
Bronze|16752|Mongolia|2000
Gold|103579|Mongolia|2002
Silver|70135|Mongolia|2002
Bronze|13653|Mongolia|2002
Gold|154129|Mongolia|2004
Silver|74365|Mongolia|2004
Bronze|16240|Mongolia|2004
Gold|104667|Mongolia|2006
Silver|48920|Mongolia|2006
Bronze|12946|Mongolia|2006
Gold|176590|Mongolia|2008
Silver|53149|Mongolia|2008
Bronze|27749|Mongolia|2008
Gold|141583|Mongolia|2010
Silver|61449|Mongolia|2010
Bronze|22530|Mongolia|2010
Gold|141675|Mongolia|2012
Silver|51688|Mongolia|2012
Bronze|11720|Mongolia|2012
Gold|155139|Montenegro|2000
Silver|75783|Montenegro|2000
Bronze|29072|Montenegro|2000
Gold|161940|Montenegro|2002
Silver|63206|Montenegro|2002
Bronze|24222|Montenegro|2002
Gold|171533|Montenegro|2004
Silver|73294|Montenegro|2004
Bronze|17319|Montenegro|2004
Gold|166632|Montenegro|2006
Silver|41178|Montenegro|2006
Bronze|20482|Montenegro|2006
Gold|170354|Montenegro|2008
Silver|66302|Montenegro|2008
Bronze|15024|Montenegro|2008
Gold|131831|Montenegro|2010
Silver|49278|Montenegro|2010
Bronze|25080|Montenegro|2010
Gold|136255|Montenegro|2012
Silver|49031|Montenegro|2012
Bronze|26176|Montenegro|2012
Gold|115155|Morocco|2000
Silver|79674|Morocco|2000
Bronze|20131|Morocco|2000
Gold|151022|Morocco|2002
Silver|76844|Morocco|2002
Bronze|16384|Morocco|2002
Gold|175934|Morocco|2004
Silver|53900|Morocco|2004
Bronze|10600|Morocco|2004
Gold|114143|Morocco|2006
Silver|74968|Morocco|2006
Bronze|15450|Morocco|2006
Gold|94700|Morocco|2008
Silver|54062|Morocco|2008
Bronze|11791|Morocco|2008
Gold|154825|Morocco|2010
Silver|74506|Morocco|2010
Bronze|15445|Morocco|2010
Gold|99031|Morocco|2012
Silver|57308|Morocco|2012
Bronze|19662|Morocco|2012
Gold|103514|Mozambique|2000
Silver|44366|Mozambique|2000
Bronze|15713|Mozambique|2000
Gold|108625|Mozambique|2002
Silver|48037|Mozambique|2002
Bronze|13362|Mozambique|2002
Gold|176997|Mozambique|2004
Silver|42232|Mozambique|2004
Bronze|18016|Mozambique|2004
Gold|172080|Mozambique|2006
Silver|68682|Mozambique|2006
Bronze|15637|Mozambique|2006
Gold|141149|Mozambique|2008
Silver|60440|Mozambique|2008
Bronze|17072|Mozambique|2008
Gold|112916|Mozambique|2010
Silver|59389|Mozambique|2010
Bronze|26461|Mozambique|2010
Gold|137409|Mozambique|2012
Silver|78056|Mozambique|2012
Bronze|25436|Mozambique|2012
Gold|96869|Netherlands|2000
Silver|68140|Netherlands|2000
Bronze|19502|Netherlands|2000
Gold|138253|Netherlands|2002
Silver|65799|Netherlands|2002
Bronze|28311|Netherlands|2002
Gold|145550|Netherlands|2004
Silver|50985|Netherlands|2004
Bronze|22757|Netherlands|2004
Gold|141766|Netherlands|2006
Silver|54394|Netherlands|2006
Bronze|15191|Netherlands|2006
Gold|131126|Netherlands|2008
Silver|67815|Netherlands|2008
Bronze|11030|Netherlands|2008
Gold|125391|Netherlands|2010
Silver|46744|Netherlands|2010
Bronze|17608|Netherlands|2010
Gold|118992|Netherlands|2012
Silver|43725|Netherlands|2012
Bronze|18977|Netherlands|2012
Gold|188223|New Zealand|2000
Silver|65062|New Zealand|2000
Bronze|12053|New Zealand|2000
Gold|112704|New Zealand|2002
Silver|44898|New Zealand|2002
Bronze|23363|New Zealand|2002
Gold|93057|New Zealand|2004
Silver|43193|New Zealand|2004
Bronze|11112|New Zealand|2004
Gold|164542|New Zealand|2006
Silver|55949|New Zealand|2006
Bronze|22450|New Zealand|2006
Gold|144364|New Zealand|2008
Silver|48239|New Zealand|2008
Bronze|16723|New Zealand|2008
Gold|162676|New Zealand|2010
Silver|52596|New Zealand|2010
Bronze|15657|New Zealand|2010
Gold|146330|New Zealand|2012
Silver|78916|New Zealand|2012
Bronze|20811|New Zealand|2012
Gold|191337|Nigeria|2000
Silver|62467|Nigeria|2000
Bronze|14305|Nigeria|2000
Gold|97800|Nigeria|2002
Silver|54937|Nigeria|2002
Bronze|28177|Nigeria|2002
Gold|122993|Nigeria|2004
Silver|78419|Nigeria|2004
Bronze|19244|Nigeria|2004
Gold|107419|Nigeria|2006
Silver|50499|Nigeria|2006
Bronze|10673|Nigeria|2006
Gold|175014|Nigeria|2008
Silver|57176|Nigeria|2008
Bronze|16673|Nigeria|2008
Gold|141371|Nigeria|2010
Silver|72960|Nigeria|2010
Bronze|14268|Nigeria|2010
Gold|115578|Nigeria|2012
Silver|61341|Nigeria|2012
Bronze|15891|Nigeria|2012
Gold|197534|North Korea|2000
Silver|48579|North Korea|2000
Bronze|13003|North Korea|2000
Gold|93942|North Korea|2002
Silver|78243|North Korea|2002
Bronze|23856|North Korea|2002
Gold|108800|North Korea|2004
Silver|76122|North Korea|2004
Bronze|24343|North Korea|2004
Gold|183537|North Korea|2006
Silver|51430|North Korea|2006
Bronze|12763|North Korea|2006
Gold|135903|North Korea|2008
Silver|54545|North Korea|2008
Bronze|14171|North Korea|2008
Gold|178769|North Korea|2010
Silver|54632|North Korea|2010
Bronze|20101|North Korea|2010
Gold|91263|North Korea|2012
Silver|79351|North Korea|2012
Bronze|25789|North Korea|2012
Gold|185028|Norway|2000
Silver|56669|Norway|2000
Bronze|29850|Norway|2000
Gold|126512|Norway|2002
Silver|66283|Norway|2002
Bronze|21336|Norway|2002
Gold|128485|Norway|2004
Silver|60969|Norway|2004
Bronze|19262|Norway|2004
Gold|105656|Norway|2006
Silver|45673|Norway|2006
Bronze|23139|Norway|2006
Gold|188784|Norway|2008
Silver|46733|Norway|2008
Bronze|18273|Norway|2008
Gold|94098|Norway|2010
Silver|65768|Norway|2010
Bronze|19251|Norway|2010
Gold|174815|Norway|2012
Silver|54015|Norway|2012
Bronze|10542|Norway|2012
Gold|196039|Panama|2000
Silver|61387|Panama|2000
Bronze|18307|Panama|2000
Gold|96136|Panama|2002
Silver|48686|Panama|2002
Bronze|14709|Panama|2002
Gold|183306|Panama|2004
Silver|49988|Panama|2004
Bronze|16419|Panama|2004
Gold|106084|Panama|2006
Silver|47781|Panama|2006
Bronze|11558|Panama|2006
Gold|107723|Panama|2008
Silver|76266|Panama|2008
Bronze|10791|Panama|2008
Gold|105944|Panama|2010
Silver|54715|Panama|2010
Bronze|25638|Panama|2010
Gold|157325|Panama|2012
Silver|50115|Panama|2012
Bronze|23482|Panama|2012
Gold|143197|Paraguay|2000
Silver|68606|Paraguay|2000
Bronze|21539|Paraguay|2000
Gold|193063|Paraguay|2002
Silver|68108|Paraguay|2002
Bronze|18586|Paraguay|2002
Gold|128451|Paraguay|2004
Silver|49898|Paraguay|2004
Bronze|19491|Paraguay|2004
Gold|121588|Paraguay|2006
Silver|43348|Paraguay|2006
Bronze|13752|Paraguay|2006
Gold|167908|Paraguay|2008
Silver|48500|Paraguay|2008
Bronze|29446|Paraguay|2008
Gold|130726|Paraguay|2010
Silver|75413|Paraguay|2010
Bronze|17343|Paraguay|2010
Gold|190458|Paraguay|2012
Silver|74784|Paraguay|2012
Bronze|15754|Paraguay|2012
Gold|163718|Poland|2000
Silver|47858|Poland|2000
Bronze|18391|Poland|2000
Gold|119083|Poland|2002
Silver|64894|Poland|2002
Bronze|11480|Poland|2002
Gold|155913|Poland|2004
Silver|59694|Poland|2004
Bronze|24907|Poland|2004
Gold|111385|Poland|2006
Silver|77490|Poland|2006
Bronze|11462|Poland|2006
Gold|177865|Poland|2008
Silver|79180|Poland|2008
Bronze|13404|Poland|2008
Gold|163252|Poland|2010
Silver|61193|Poland|2010
Bronze|16060|Poland|2010
Gold|112016|Poland|2012
Silver|70500|Poland|2012
Bronze|19735|Poland|2012
Gold|189859|Portugal|2000
Silver|79407|Portugal|2000
Bronze|16240|Portugal|2000
Gold|113844|Portugal|2002
Silver|43889|Portugal|2002
Bronze|21750|Portugal|2002
Gold|91180|Portugal|2004
Silver|71250|Portugal|2004
Bronze|13024|Portugal|2004
Gold|195869|Portugal|2006
Silver|40459|Portugal|2006
Bronze|12789|Portugal|2006
Gold|153241|Portugal|2008
Silver|46571|Portugal|2008
Bronze|10105|Portugal|2008
Gold|167126|Portugal|2010
Silver|59992|Portugal|2010
Bronze|27939|Portugal|2010
Gold|193485|Portugal|2012
Silver|53166|Portugal|2012
Bronze|10432|Portugal|2012
Gold|171756|Puerto Rico|2000
Silver|76346|Puerto Rico|2000
Bronze|14656|Puerto Rico|2000
Gold|161810|Puerto Rico|2002
Silver|75037|Puerto Rico|2002
Bronze|28350|Puerto Rico|2002
Gold|120450|Puerto Rico|2004
Silver|46264|Puerto Rico|2004
Bronze|13677|Puerto Rico|2004
Gold|139485|Puerto Rico|2006
Silver|53018|Puerto Rico|2006
Bronze|16153|Puerto Rico|2006
Gold|91779|Puerto Rico|2008
Silver|44633|Puerto Rico|2008
Bronze|15675|Puerto Rico|2008
Gold|103689|Puerto Rico|2010
Silver|55373|Puerto Rico|2010
Bronze|19965|Puerto Rico|2010
Gold|128523|Puerto Rico|2012
Silver|49142|Puerto Rico|2012
Bronze|28298|Puerto Rico|2012
Gold|94571|Qatar|2000
Silver|45223|Qatar|2000
Bronze|29067|Qatar|2000
Gold|161026|Qatar|2002
Silver|59082|Qatar|2002
Bronze|25374|Qatar|2002
Gold|105369|Qatar|2004
Silver|76410|Qatar|2004
Bronze|21010|Qatar|2004
Gold|196518|Qatar|2006
Silver|56139|Qatar|2006
Bronze|18092|Qatar|2006
Gold|120625|Qatar|2008
Silver|78029|Qatar|2008
Bronze|11467|Qatar|2008
Gold|122983|Qatar|2010
Silver|66061|Qatar|2010
Bronze|14391|Qatar|2010
Gold|184376|Qatar|2012
Silver|48165|Qatar|2012
Bronze|22566|Qatar|2012
Gold|104440|Romania|2000
Silver|56201|Romania|2000
Bronze|25172|Romania|2000
Gold|99407|Romania|2002
Silver|62178|Romania|2002
Bronze|23603|Romania|2002
Gold|183146|Romania|2004
Silver|58452|Romania|2004
Bronze|22597|Romania|2004
Gold|141654|Romania|2006
Silver|63311|Romania|2006
Bronze|11454|Romania|2006
Gold|132294|Romania|2008
Silver|52766|Romania|2008
Bronze|24556|Romania|2008
Gold|110535|Romania|2010
Silver|47869|Romania|2010
Bronze|12061|Romania|2010
Gold|100699|Romania|2012
Silver|50428|Romania|2012
Bronze|29356|Romania|2012
Gold|169375|Russia|2000
Silver|45456|Russia|2000
Bronze|23943|Russia|2000
Gold|192638|Russia|2002
Silver|65435|Russia|2002
Bronze|18925|Russia|2002
Gold|115035|Russia|2004
Silver|40617|Russia|2004
Bronze|22451|Russia|2004
Gold|101458|Russia|2006
Silver|77624|Russia|2006
Bronze|28644|Russia|2006
Gold|134524|Russia|2008
Silver|75026|Russia|2008
Bronze|12973|Russia|2008
Gold|125694|Russia|2010
Silver|76216|Russia|2010
Bronze|29042|Russia|2010
Gold|132044|Russia|2012
Silver|60359|Russia|2012
Bronze|26658|Russia|2012
Gold|154390|Saudi Arabia|2000
Silver|74281|Saudi Arabia|2000
Bronze|16287|Saudi Arabia|2000
Gold|150590|Saudi Arabia|2002
Silver|61612|Saudi Arabia|2002
Bronze|24067|Saudi Arabia|2002
Gold|162355|Saudi Arabia|2004
Silver|70601|Saudi Arabia|2004
Bronze|18490|Saudi Arabia|2004
Gold|171826|Saudi Arabia|2006
Silver|56753|Saudi Arabia|2006
Bronze|12933|Saudi Arabia|2006
Gold|101174|Saudi Arabia|2008
Silver|78433|Saudi Arabia|2008
Bronze|11605|Saudi Arabia|2008
Gold|119433|Saudi Arabia|2010
Silver|41364|Saudi Arabia|2010
Bronze|21865|Saudi Arabia|2010
Gold|174091|Saudi Arabia|2012
Silver|66950|Saudi Arabia|2012
Bronze|13126|Saudi Arabia|2012
Gold|102584|Serbia|2000
Silver|71578|Serbia|2000
Bronze|29293|Serbia|2000
Gold|91257|Serbia|2002
Silver|41460|Serbia|2002
Bronze|28413|Serbia|2002
Gold|148572|Serbia|2004
Silver|57167|Serbia|2004
Bronze|21614|Serbia|2004
Gold|123100|Serbia|2006
Silver|56370|Serbia|2006
Bronze|15743|Serbia|2006
Gold|182693|Serbia|2008
Silver|79110|Serbia|2008
Bronze|21492|Serbia|2008
Gold|114928|Serbia|2010
Silver|63463|Serbia|2010
Bronze|18306|Serbia|2010
Gold|181435|Serbia|2012
Silver|50730|Serbia|2012
Bronze|18258|Serbia|2012
Gold|96035|Serbia and Montenegro|2000
Silver|50870|Serbia and Montenegro|2000
Bronze|17431|Serbia and Montenegro|2000
Gold|131171|Serbia and Montenegro|2002
Silver|79057|Serbia and Montenegro|2002
Bronze|21970|Serbia and Montenegro|2002
Gold|158721|Serbia and Montenegro|2004
Silver|56462|Serbia and Montenegro|2004
Bronze|19768|Serbia and Montenegro|2004
Gold|96829|Serbia and Montenegro|2006
Silver|75211|Serbia and Montenegro|2006
Bronze|23981|Serbia and Montenegro|2006
Gold|192278|Serbia and Montenegro|2008
Silver|54402|Serbia and Montenegro|2008
Bronze|17674|Serbia and Montenegro|2008
Gold|122778|Serbia and Montenegro|2010
Silver|54334|Serbia and Montenegro|2010
Bronze|14370|Serbia and Montenegro|2010
Gold|95377|Serbia and Montenegro|2012
Silver|57429|Serbia and Montenegro|2012
Bronze|18847|Serbia and Montenegro|2012
Gold|109160|Singapore|2000
Silver|43768|Singapore|2000
Bronze|15835|Singapore|2000
Gold|111059|Singapore|2002
Silver|76629|Singapore|2002
